ordinal	commandId	phase	cwd	argv	expectedExit	immediateCopy
1	B-GIT-STATUS	preflight	<REPO_ROOT>	git status --porcelain	0	metadata/preflight/git-status.txt
2	B-GIT-REVISION	preflight	<REPO_ROOT>	git rev-parse HEAD	0	metadata/preflight/candidate-revision.txt
3	B-BASELINE-DIFF	preflight	<REPO_ROOT>	git diff --exit-code <CANDIDATE_REVISION> -- .mvn/api-baseline	0	metadata/preflight/baseline-diff.txt
4	B-BASELINE-CHECK	preflight	.mvn/api-baseline	shasum -a 256 -c SHA256SUMS	0	metadata/preflight/baseline-check.txt
5	B-BASELINE-AUTHORITY	preflight	<REPO_ROOT>	shasum -a 256 .mvn/api-baseline/SHA256SUMS	0	metadata/preflight/baseline-authority.txt
6	B-INSTALL-CANDIDATE	preflight	<REPO_ROOT>	./mvnw -X -Drevision=<FINAL_VERSION> -Prelease-artifacts -Dmaven.repo.local=<RUN_REPO> -pl tfi-all -am clean install -DskipTests org.apache.maven.plugins:maven-dependency-plugin:3.9.0:help -Ddetail=false -Dgoal=tree	0	build/candidate-install.log
7	F01-COMPARE	focused	<REPO_ROOT>	./mvnw -Dmaven.repo.local=<RUN_REPO> -Drevision=<FINAL_VERSION> -pl tfi-compare clean -Dtest=LegacySnapshotRemovalContractTests,CompareArtifactStaticStateContractTests,EntityKeyClassCacheContractTests,CompareBehaviorCharacterizationTests,CompareBreakingChangeManifestTests,CompareManifestCoverageTests,CompareResourceInventoryContractTests,CompareLegacyApiRemovalContractTests,TrackingOptionsCompatContractTests,CompareRequestIsolationTests,SnapshotPathBoundaryTests,MapListComparisonPropertyTests,QueryDeepCoverageTests test	0	focused/hrd-01/tfi-compare/TEST-com.syy.taskflowinsight.compatibility.LegacySnapshotRemovalContractTests.xml,focused/hrd-01/tfi-compare/TEST-com.syy.taskflowinsight.architecture.CompareArtifactStaticStateContractTests.xml,focused/hrd-01/tfi-compare/TEST-com.syy.taskflowinsight.tracking.ssot.key.EntityKeyClassCacheContractTests.xml,focused/hrd-01/tfi-compare/TEST-com.syy.taskflowinsight.compatibility.CompareBehaviorCharacterizationTests.xml,focused/hrd-01/tfi-compare/TEST-com.syy.taskflowinsight.compatibility.CompareBreakingChangeManifestTests.xml,focused/hrd-01/tfi-compare/TEST-com.syy.taskflowinsight.compatibility.CompareManifestCoverageTests.xml,focused/hrd-01/tfi-compare/TEST-com.syy.taskflowinsight.compatibility.CompareResourceInventoryContractTests.xml,focused/hrd-01/tfi-compare/TEST-com.syy.taskflowinsight.tracking.compare.CompareLegacyApiRemovalContractTests.xml,focused/hrd-01/tfi-compare/TEST-com.syy.taskflowinsight.api.TrackingOptionsCompatContractTests.xml,focused/hrd-01/tfi-compare/TEST-com.syy.taskflowinsight.tracking.compare.internal.CompareRequestIsolationTests.xml,focused/hrd-01/tfi-compare/TEST-com.syy.taskflowinsight.tracking.compare.internal.SnapshotPathBoundaryTests.xml,focused/hrd-01/tfi-compare/TEST-com.syy.taskflowinsight.tracking.compare.MapListComparisonPropertyTests.xml,focused/hrd-01/tfi-compare/TEST-com.syy.taskflowinsight.tracking.query.QueryDeepCoverageTests.xml
8	F01-ALL	focused	<REPO_ROOT>	./mvnw -Dmaven.repo.local=<RUN_REPO> -Drevision=<FINAL_VERSION> -pl tfi-all -Dtest=com.syy.taskflowinsight.api.TFIArchitectureTest test	0	focused/hrd-01/tfi-all/TEST-com.syy.taskflowinsight.api.TFIArchitectureTest.xml
9	F01-EXAMPLES	focused	<REPO_ROOT>	./mvnw -Dmaven.repo.local=<RUN_REPO> -Drevision=<FINAL_VERSION> -pl tfi-examples -Dtest=com.syy.taskflowinsight.demo.Demo03Scenario7SortingTest test	0	focused/hrd-01/tfi-examples/TEST-com.syy.taskflowinsight.demo.Demo03Scenario7SortingTest.xml
10	F02-OPS	focused	<REPO_ROOT>	./mvnw -Dmaven.repo.local=<RUN_REPO> -Drevision=<FINAL_VERSION> -pl tfi-ops-spring clean -Dtest=com.syy.taskflowinsight.ops.compare.CompareOpsAutoConfigurationContractTests,com.syy.taskflowinsight.ops.compare.ObservedCompareOperationsContractTests,com.syy.taskflowinsight.ops.compare.CompareOpsHealthContractTests test	0	focused/hrd-02/tfi-ops-spring/TEST-com.syy.taskflowinsight.ops.compare.CompareOpsAutoConfigurationContractTests.xml,focused/hrd-02/tfi-ops-spring/TEST-com.syy.taskflowinsight.ops.compare.ObservedCompareOperationsContractTests.xml,focused/hrd-02/tfi-ops-spring/TEST-com.syy.taskflowinsight.ops.compare.CompareOpsHealthContractTests.xml
11	F02-ALL	focused	<REPO_ROOT>	./mvnw -Dmaven.repo.local=<RUN_REPO> -Drevision=<FINAL_VERSION> -pl tfi-all clean -Dtest=com.syy.taskflowinsight.api.CompareOpsBootAutoConfigurationIntegrationTests,com.syy.taskflowinsight.api.CompareOpsConsumerContractTests test	0	focused/hrd-02/tfi-all/TEST-com.syy.taskflowinsight.api.CompareOpsBootAutoConfigurationIntegrationTests.xml,focused/hrd-02/tfi-all/TEST-com.syy.taskflowinsight.api.CompareOpsConsumerContractTests.xml
12	F03-SCRIPT-TEST	focused	<REPO_ROOT>	python3 -m unittest scripts.tests.test_enforce_static_analysis_baseline	0	focused/hrd-03/script-baseline-tests.log
13	F03-FLOW	focused	<REPO_ROOT>	./mvnw -Dmaven.repo.local=<RUN_REPO> -Drevision=<FINAL_VERSION> -pl tfi-flow-spring-starter clean -Dtest=com.syy.taskflowinsight.config.ContextMonitoringAutoConfigurationTest test	0	focused/hrd-03/tfi-flow-spring-starter/TEST-com.syy.taskflowinsight.config.ContextMonitoringAutoConfigurationTest.xml
14	F03-STARTER	focused	<REPO_ROOT>	./mvnw -Dmaven.repo.local=<RUN_REPO> -Drevision=<FINAL_VERSION> -pl tfi-compare-spring-starter clean -Dtest=com.syy.taskflowinsight.compare.spring.CompareContextIsolationTests,com.syy.taskflowinsight.compare.spring.TfiTaskDeepTrackingDelegateContractTests,com.syy.taskflowinsight.compare.spring.CompareAutoConfigurationContractTests,com.syy.taskflowinsight.compare.spring.CompareConfigurationContractTests,com.syy.taskflowinsight.compare.spring.CompareStarterBuildConfigurationContractTests test checkstyle:checkstyle pmd:pmd	0	focused/hrd-03/tfi-compare-spring-starter/TEST-com.syy.taskflowinsight.compare.spring.CompareContextIsolationTests.xml,focused/hrd-03/tfi-compare-spring-starter/TEST-com.syy.taskflowinsight.compare.spring.TfiTaskDeepTrackingDelegateContractTests.xml,focused/hrd-03/tfi-compare-spring-starter/TEST-com.syy.taskflowinsight.compare.spring.CompareAutoConfigurationContractTests.xml,focused/hrd-03/tfi-compare-spring-starter/TEST-com.syy.taskflowinsight.compare.spring.CompareConfigurationContractTests.xml,focused/hrd-03/tfi-compare-spring-starter/TEST-com.syy.taskflowinsight.compare.spring.CompareStarterBuildConfigurationContractTests.xml
15	F03-RATCHET	focused	<REPO_ROOT>	python3 scripts/enforce_static_analysis_baseline.py --module tfi-compare-spring-starter	0	focused/hrd-03/tfi-compare-spring-starter/static-ratchet.log
16	F03-OPS	focused	<REPO_ROOT>	./mvnw -Dmaven.repo.local=<RUN_REPO> -Drevision=<FINAL_VERSION> -pl tfi-ops-spring clean -Dtest=com.syy.taskflowinsight.ops.compare.CompareOpsAutoConfigurationContractTests,com.syy.taskflowinsight.ops.compare.CompareOpsHealthContractTests test	0	focused/hrd-03/tfi-ops-spring/TEST-com.syy.taskflowinsight.ops.compare.CompareOpsAutoConfigurationContractTests.xml,focused/hrd-03/tfi-ops-spring/TEST-com.syy.taskflowinsight.ops.compare.CompareOpsHealthContractTests.xml
17	F03-ALL	focused	<REPO_ROOT>	./mvnw -Dmaven.repo.local=<RUN_REPO> -Drevision=<FINAL_VERSION> -pl tfi-all -Dtest=com.syy.taskflowinsight.api.CompareFlowContextIsolationIntegrationTests,com.syy.taskflowinsight.api.CompareOpsBootAutoConfigurationIntegrationTests,com.syy.taskflowinsight.api.StaticAndSpringCompareContractTests,com.syy.taskflowinsight.api.CompareOpsConsumerContractTests test	0	focused/hrd-03/tfi-all/TEST-com.syy.taskflowinsight.api.CompareFlowContextIsolationIntegrationTests.xml,focused/hrd-03/tfi-all/TEST-com.syy.taskflowinsight.api.CompareOpsBootAutoConfigurationIntegrationTests.xml,focused/hrd-03/tfi-all/TEST-com.syy.taskflowinsight.api.StaticAndSpringCompareContractTests.xml,focused/hrd-03/tfi-all/TEST-com.syy.taskflowinsight.api.CompareOpsConsumerContractTests.xml
18	F04-COMPARE	focused	<REPO_ROOT>	./mvnw -Dmaven.repo.local=<RUN_REPO> -Drevision=<FINAL_VERSION> -pl tfi-compare -Dtest=com.syy.taskflowinsight.architecture.CompareDocumentationContractTests test	0	focused/hrd-04/tfi-compare/TEST-com.syy.taskflowinsight.architecture.CompareDocumentationContractTests.xml
19	F04-STARTER	focused	<REPO_ROOT>	./mvnw -Dmaven.repo.local=<RUN_REPO> -Drevision=<FINAL_VERSION> -pl tfi-compare-spring-starter clean -Dtest=com.syy.taskflowinsight.compare.spring.CompareAutoConfigurationContractTests,com.syy.taskflowinsight.compare.spring.CompareConfigurationContractTests test	0	focused/hrd-04/tfi-compare-spring-starter/TEST-com.syy.taskflowinsight.compare.spring.CompareAutoConfigurationContractTests.xml,focused/hrd-04/tfi-compare-spring-starter/TEST-com.syy.taskflowinsight.compare.spring.CompareConfigurationContractTests.xml
20	F04-EXAMPLES	focused	<REPO_ROOT>	./mvnw -Dmaven.repo.local=<RUN_REPO> -Drevision=<FINAL_VERSION> -pl tfi-examples clean -Dtest=com.syy.taskflowinsight.demo.CompareProfilesStartupContractTests,com.syy.taskflowinsight.demo.DemoControllerTest test	0	focused/hrd-04/tfi-examples/TEST-com.syy.taskflowinsight.demo.CompareProfilesStartupContractTests.xml,focused/hrd-04/tfi-examples/TEST-com.syy.taskflowinsight.demo.DemoControllerTest.xml
21	F04-ALL	focused	<REPO_ROOT>	./mvnw -Dmaven.repo.local=<RUN_REPO> -Drevision=<FINAL_VERSION> -pl tfi-all -Dtest=com.syy.taskflowinsight.api.StaticAndSpringCompareContractTests test	0	focused/hrd-04/tfi-all/TEST-com.syy.taskflowinsight.api.StaticAndSpringCompareContractTests.xml
22	F06-COMPARE	focused	<REPO_ROOT>	./mvnw -Dmaven.repo.local=<RUN_REPO> -Drevision=<FINAL_VERSION> -pl tfi-compare clean -Dtest=CompareContainerCapacityContractTests,SnapshotPathBoundaryTests,SetEntityComparisonPropertyTests,MapListComparisonPropertyTests test	0	focused/hrd-06/tfi-compare/TEST-com.syy.taskflowinsight.tracking.compare.internal.CompareContainerCapacityContractTests.xml,focused/hrd-06/tfi-compare/TEST-com.syy.taskflowinsight.tracking.compare.internal.SnapshotPathBoundaryTests.xml,focused/hrd-06/tfi-compare/TEST-com.syy.taskflowinsight.tracking.compare.SetEntityComparisonPropertyTests.xml,focused/hrd-06/tfi-compare/TEST-com.syy.taskflowinsight.tracking.compare.MapListComparisonPropertyTests.xml
23	F06-OPS	focused	<REPO_ROOT>	./mvnw -Dmaven.repo.local=<RUN_REPO> -Drevision=<FINAL_VERSION> -pl tfi-ops-spring clean -Dtest=StoreSensitiveLoggingContractTests,ObservedCompareOperationsContractTests,CaffeineStoreContractTest,StoreConfigTest test	0	focused/hrd-06/tfi-ops-spring/TEST-com.syy.taskflowinsight.store.StoreSensitiveLoggingContractTests.xml,focused/hrd-06/tfi-ops-spring/TEST-com.syy.taskflowinsight.ops.compare.ObservedCompareOperationsContractTests.xml,focused/hrd-06/tfi-ops-spring/TEST-com.syy.taskflowinsight.store.CaffeineStoreContractTest.xml,focused/hrd-06/tfi-ops-spring/TEST-com.syy.taskflowinsight.store.StoreConfigTest.xml
24	F06-EXAMPLES	focused	<REPO_ROOT>	./mvnw -Dmaven.repo.local=<RUN_REPO> -Drevision=<FINAL_VERSION> -pl tfi-examples -Pbench -Dtest=CompareProductionBenchmarkRunnerTests test	0	focused/hrd-06/tfi-examples/TEST-com.syy.taskflowinsight.benchmark.CompareProductionBenchmarkRunnerTests.xml
25	F07-PUBLISH	focused	<REPO_ROOT>	./mvnw -Dmaven.repo.local=<RUN_REPO> -Drevision=<FINAL_VERSION> -Prelease-artifacts -pl tfi-flow-core,tfi-flow-spring-starter,tfi-compare,tfi-compare-spring-starter,tfi-ops-spring,tfi-all -am clean package	0	focused/hrd-07/publish-package.log
26	F07-COMPARE	focused	<REPO_ROOT>	./mvnw -Dmaven.repo.local=<RUN_REPO> -Drevision=<FINAL_VERSION> -pl tfi-compare clean -Dtest=ComparePublishabilityContractTests,PublishArtifactAssemblerContractTests,CompatibilityMatrixFixturePreparerContractTests test	0	focused/hrd-07/tfi-compare/TEST-com.syy.taskflowinsight.architecture.ComparePublishabilityContractTests.xml,focused/hrd-07/tfi-compare/TEST-com.syy.taskflowinsight.architecture.PublishArtifactAssemblerContractTests.xml,focused/hrd-07/tfi-compare/TEST-com.syy.taskflowinsight.architecture.CompatibilityMatrixFixturePreparerContractTests.xml
27	F07-ARTIFACT	focused	<REPO_ROOT>	bash scripts/verify_tfi_compare_artifact_consumers.sh --fixture publish-layout --version <FINAL_VERSION>	0	artifact-consumers/publish-layout/TEST-com.syy.taskflowinsight.it.PublishLayoutArtifactTests.xml
